               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082846,            0.032157,                   0,            0.026686,             0.66667,            0.058654,            0.016125,            0.089444,            0.023449,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.10662,            0.030536,                   0,            0.027115,                0.75,            0.055593,            0.015667,            0.088309,            0.022842,                   0,            0.097294,          0.00029406,          0.00029406
                   2,            0.080343,            0.032622,                   0,            0.014593,             0.83333,             0.05061,            0.014496,            0.085855,            0.022259,                   0,             0.09548,           0.0004802,           0.0004802
                   3,             0.10344,            0.031697,                   0,            0.010703,             0.91667,            0.046146,             0.01277,            0.082362,            0.021662,                   0,            0.093658,          0.00065842,          0.00065842
                   4,            0.076701,            0.030589,                   0,            0.012457,             0.83333,             0.05958,            0.014227,            0.075093,            0.021177,                   0,            0.091829,          0.00082872,          0.00082872
                   5,            0.071809,            0.031714,                   0,            0.013695,                   1,            0.071931,            0.019147,            0.055752,            0.020889,                   0,            0.089991,           0.0009911,           0.0009911
                   6,             0.11861,            0.032622,                   0,            0.016813,             0.91667,            0.076159,            0.021183,            0.035971,            0.020588,                   0,            0.088146,           0.0011456,           0.0011456
                   7,            0.088565,            0.033743,                   0,           0.0033333,                   1,            0.081224,            0.023771,            0.034724,            0.019984,                   0,            0.086292,           0.0012921,           0.0012921
                   8,            0.085843,            0.030832,                   0,           0.0033926,                   1,             0.10151,            0.031752,            0.036192,             0.01962,                   0,            0.084431,           0.0014307,           0.0014307
                   9,            0.057479,            0.028583,                   0,           0.0044909,                   1,             0.08913,            0.030853,            0.035959,            0.019145,                   0,            0.082561,           0.0015614,           0.0015614
                  10,            0.057469,            0.028166,                   0,            0.017973,                   1,             0.13292,            0.043195,            0.033164,            0.018745,                   0,            0.080684,           0.0016842,           0.0016842
                  11,            0.051066,             0.03234,                   0,            0.021171,             0.91667,             0.13878,            0.045324,            0.034183,            0.018276,                   0,            0.078799,           0.0017991,           0.0017991
                  12,             0.05423,            0.026849,                   0,              0.2509,                 0.5,             0.25586,            0.068643,            0.034661,            0.017756,                   0,            0.076906,            0.001906,            0.001906
                  13,            0.051331,            0.030578,                   0,             0.22802,             0.41667,             0.26656,            0.097854,            0.034419,            0.017268,                   0,            0.075005,            0.002005,            0.002005
                  14,             0.04664,            0.031425,                   0,             0.37628,             0.41667,             0.31168,             0.12429,            0.031748,            0.016721,                   0,            0.073096,           0.0020961,           0.0020961
                  15,            0.073764,            0.031671,                   0,             0.37065,                 0.5,             0.37438,             0.18187,             0.03033,            0.016183,                   0,            0.071179,           0.0021793,           0.0021793
                  16,            0.046881,            0.030228,                   0,             0.44462,                0.75,             0.48665,              0.2483,            0.028688,            0.015825,                   0,            0.069255,           0.0022546,           0.0022546
                  17,             0.04571,            0.029483,                   0,             0.44129,             0.59289,             0.49268,             0.23519,            0.031294,            0.015638,                   0,            0.067322,           0.0023219,           0.0023219
                  18,            0.044279,            0.028791,                   0,             0.50465,             0.66667,             0.58916,             0.26991,            0.032761,            0.014971,                   0,            0.065381,           0.0023813,           0.0023813
                  19,            0.071181,             0.02698,                   0,             0.56996,             0.91667,             0.62778,             0.28869,             0.03397,            0.014543,                   0,            0.063433,           0.0024328,           0.0024328
                  20,            0.042583,            0.029267,                   0,             0.48354,             0.91667,             0.55935,             0.25825,            0.031981,            0.014408,                   0,            0.061476,           0.0024764,           0.0024764
                  21,            0.044871,            0.025323,                   0,             0.48144,             0.85171,             0.62131,             0.29575,            0.027992,            0.014201,                   0,            0.059512,           0.0025121,           0.0025121
                  22,            0.038285,            0.027389,                   0,             0.55235,             0.83333,             0.66615,             0.37897,            0.024626,            0.014272,                   0,             0.05754,           0.0025398,           0.0025398
                  23,            0.039424,            0.027042,                   0,              0.6651,                0.75,             0.66632,             0.40114,            0.025937,            0.014194,                   0,             0.05556,           0.0025596,           0.0025596
                  24,            0.035573,            0.028169,                   0,             0.63193,                0.75,              0.6881,             0.38443,            0.024738,            0.014293,                   0,            0.053572,           0.0025715,           0.0025715
                  25,            0.037669,            0.024634,                   0,             0.64659,             0.76306,               0.755,             0.36166,            0.025912,            0.014055,                   0,            0.051576,           0.0025755,           0.0025755
                  26,            0.036826,            0.021618,                   0,              0.6579,                0.75,             0.75095,             0.42622,            0.032345,            0.013881,                   0,            0.049572,           0.0025716,           0.0025716
                  27,            0.067201,            0.026792,                   0,              0.6579,                0.75,             0.75095,             0.42622,            0.032345,            0.013881,                   0,             0.04756,           0.0025597,           0.0025597
                  28,            0.059647,            0.023745,                   0,             0.72372,             0.87462,             0.82278,             0.40768,            0.027809,             0.01407,                   0,             0.04554,           0.0025399,           0.0025399
                  29,            0.060949,            0.024358,                   0,             0.75824,             0.66667,             0.77881,             0.39074,            0.035289,            0.013704,                   0,            0.043512,           0.0025122,           0.0025122
                  30,              0.0634,            0.023032,                   0,             0.75824,             0.66667,             0.77881,             0.39074,            0.035289,            0.013704,                   0,            0.041477,           0.0024766,           0.0024766
                  31,            0.037804,            0.022144,                   0,             0.56634,                   1,             0.80788,             0.45739,            0.030213,            0.013219,                   0,            0.039433,           0.0024331,           0.0024331
                  32,            0.063489,            0.024688,                   0,             0.69076,             0.83333,             0.88748,             0.41855,            0.030157,            0.012663,                   0,            0.037382,           0.0023816,           0.0023816
                  33,            0.037335,            0.020523,                   0,             0.69076,             0.83333,             0.88748,             0.41855,            0.030157,            0.012663,                   0,            0.035322,           0.0023222,           0.0023222
                  34,            0.034569,            0.020681,                   0,             0.87859,                0.75,             0.93514,             0.50661,             0.02721,            0.011857,                   0,            0.033255,           0.0022549,           0.0022549
                  35,            0.078145,            0.022048,                   0,               0.825,             0.78752,             0.92033,             0.49226,            0.027008,            0.011546,                   0,             0.03118,           0.0021797,           0.0021797
                  36,             0.03187,            0.024026,                   0,               0.825,             0.78752,             0.92033,             0.49226,            0.027008,            0.011546,                   0,            0.029097,           0.0020966,           0.0020966
                  37,             0.02952,            0.020102,                   0,                   1,             0.79763,             0.93729,             0.58689,            0.023428,            0.010934,                   0,            0.027006,           0.0020055,           0.0020055
                  38,            0.031148,            0.022317,                   0,             0.78162,             0.89599,             0.92704,              0.4571,            0.025381,            0.010319,                   0,            0.024907,           0.0019065,           0.0019065
                  39,            0.034942,             0.02195,                   0,             0.78162,             0.89599,             0.92704,              0.4571,            0.025381,            0.010319,                   0,              0.0228,           0.0017996,           0.0017996
                  40,            0.030783,            0.021445,                   0,             0.84877,                0.75,             0.91867,             0.59588,            0.021457,           0.0098016,                   0,            0.020685,           0.0016848,           0.0016848
                  41,            0.055797,            0.021765,                   0,             0.84347,             0.89925,             0.92885,               0.533,             0.02084,           0.0095181,                   0,            0.018562,           0.0015621,           0.0015621
                  42,            0.079203,            0.021825,                   0,             0.84347,             0.89925,             0.92885,               0.533,             0.02084,           0.0095181,                   0,            0.016431,           0.0014314,           0.0014314
                  43,            0.031414,            0.019542,                   0,             0.78569,             0.83333,              0.8746,             0.51358,            0.022263,           0.0089958,                   0,            0.014293,           0.0012928,           0.0012928
                  44,            0.031537,            0.018667,                   0,             0.78569,             0.83333,              0.8746,             0.51358,            0.022263,           0.0089958,                   0,            0.012146,           0.0011463,           0.0011463
                  45,            0.055174,            0.018919,                   0,             0.89093,             0.91667,             0.93321,             0.58379,            0.020325,           0.0086701,                   0,           0.0099919,           0.0009919,           0.0009919
                  46,            0.028605,            0.021354,                   0,             0.89093,             0.91667,             0.93321,             0.58379,            0.020325,           0.0086701,                   0,           0.0078296,          0.00082956,          0.00082956
                  47,            0.028023,            0.021666,                   0,             0.96348,             0.91667,             0.96833,             0.63425,            0.019174,           0.0084052,                   0,           0.0056593,           0.0006593,           0.0006593
                  48,             0.05363,            0.022013,                   0,             0.96348,             0.91667,             0.96833,             0.63425,            0.019174,           0.0084052,                   0,           0.0034811,          0.00048112,          0.00048112
                  49,            0.026775,            0.019488,                   0,              0.9713,             0.91667,               0.979,             0.64197,            0.018933,           0.0082383,                   0,            0.001295,          0.00029502,          0.00029502
